,significance,ra,dec,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,EBV_FLAG,DECALS_FOOT,DELVE_FOOT,pmra,pmdec,names,edr3,RR_LYRAE,SGR,LMC,NSTARS,MAG_AVG
665,9.592452049,353.2692547,33.00641608,104.5280831,-27.04950953,FALSE,TRUE,FALSE,TRUE,FALSE,-3.626270888,-3.929810623,DEC_33.0_34.0/DEC_33.4_RA_352.7,0,FALSE,FALSE,FALSE,14,19.56159193
666,9.592374802,213.7508608,22.0023473,22.38623084,70.34799904,FALSE,TRUE,FALSE,TRUE,FALSE,-1.520804987,-2.38603831,DEC_21.0_22.0/DEC_22.0_RA_214.2,0,FALSE,FALSE,FALSE,5,19.3783
667,9.590006828,322.1115114,-18.44628083,32.31469636,-42.72435633,FALSE,TRUE,FALSE,FALSE,FALSE,0.804242449,-1.980025895,DEC_-19.0_-18.0/DEC_-18.5_RA_321.4,0,FALSE,FALSE,FALSE,7,18.75290757
668,9.589342117,77.0997512,-16.27554079,216.8490359,-29.93910679,FALSE,TRUE,FALSE,FALSE,FALSE,0.163147023,-0.336480336,DEC_-16.0_-15.0/DEC_-15.6_RA_76.7,0,FALSE,FALSE,FALSE,11,19.61497345
669,9.589129448,155.8517351,61.4353224,148.2799028,47.75730421,FALSE,TRUE,FALSE,TRUE,FALSE,-1.6122263,-3.385154284,DEC_61.0_62.0/DEC_61.4_RA_155.5,0,FALSE,FALSE,FALSE,5,19.226382
670,9.585133553,219.4685643,-23.85181103,332.1393422,32.91381133,FALSE,TRUE,FALSE,FALSE,TRUE,-3.263627185,-3.061100867,DEC_-24.0_-23.0/DEC_-23.7_RA_220.0,0,FALSE,FALSE,FALSE,14,19.15657714
671,9.584260941,65.58394883,-15.35031289,210.6396422,-39.82901485,FALSE,TRUE,FALSE,TRUE,FALSE,-0.100481988,-0.145951354,DEC_-15.0_-14.0/DEC_-15.0_RA_65.8,0,FALSE,FALSE,FALSE,9,19.62436022
672,9.582650185,133.9682265,36.69380712,186.391373,39.87941352,FALSE,TRUE,FALSE,TRUE,FALSE,-1.161439337,-0.979073466,DEC_37.0_38.0/DEC_37.2_RA_134.1,0,FALSE,FALSE,FALSE,6,19.5960305
673,9.580942154,202.3955675,27.04024824,34.51430767,81.51123824,FALSE,TRUE,FALSE,TRUE,FALSE,-2.048480231,-2.182790247,DEC_26.0_27.0/DEC_26.7_RA_203.1,0,FALSE,FALSE,FALSE,7,19.22595257
674,9.579139709,157.3278302,-32.14448486,270.9399668,21.75477879,FALSE,FALSE,FALSE,FALSE,TRUE,-4.33436448,-1.155849217,DEC_-32.0_-31.0/DEC_-31.8_RA_158.1,0,FALSE,FALSE,FALSE,10,18.9457435
