ID,significance,RA,DEC,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,DELVE_FOOTPRINT,DECALS_FOOTPRINT,EBV_FLAG,GOLD_STANDARD,RR_LYRAE
0,12.34364414,359.696187,-15.72177851,73.28264432,-73.28340871,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,9.454184532,359.6920787,-25.81626897,36.31009819,-78.14599603,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,10.03097248,359.4746101,-21.10765026,56.30450763,-76.39282206,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
3,9.166469574,359.1049639,-21.4676468,54.27642629,-76.25729763,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4,11.24702835,359.1033223,-33.75692618,0.357785143,-76.4317425,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
5,9.313719749,358.3646068,3.298495525,96.00414428,-56.51143842,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
6,12.28120422,357.8937415,-34.40372256,359.7370468,-75.24896139,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,10.41161823,357.4167318,-18.57754639,60.73268966,-73.42109469,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8,9.737190247,357.2415266,-32.05563339,9.231839952,-75.5703886,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,9.567627907,356.9886984,-21.0140999,52.40884658,-74.28956263,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10,9.553092003,356.4273084,-22.66724791,46.00090933,-74.45644647,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
11,9.575257301,356.2783764,-29.34814235,20.4063332,-75.23757479,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,9.3540802,355.9698155,-19.95344474,54.22032131,-72.9570757,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
13,9.448245049,355.9531946,-2.773734958,86.44272539,-60.76132792,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
14,10.03641033,355.4739115,-39.20385634,348.7089577,-71.14970695,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
15,9.385972977,355.4027984,-22.06365216,46.83465987,-73.35708085,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
16,10.18006039,354.8994146,-11.42309292,72.40432955,-66.94930853,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
17,9.243173599,354.8027746,-16.9966148,60.451352,-70.47383713,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
18,10.94767857,354.4897719,-37.24575621,355.193592,-71.50435692,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
19,10.92341614,354.4491037,-11.1623984,72.0723184,-66.45360424,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
20,9.190561295,354.1447154,-22.8296682,43.04275997,-72.51915962,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
21,9.574608803,354.1050845,-21.84925626,46.04844463,-72.15694329,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
22,9.188512802,353.8629181,5.152151994,90.45454836,-52.8606958,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
