,SIGNIFICANCE,RA,DEC,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,DELVE_FOOTPRINT,DECALS_FOOTPRINT,EBV_FLAG,PMRA,PMDEC,RR_LYRAE,NSTARS,MAG_AVG,MAG_MAX
617,11.68981171,240.9515744,19.00799287,33.08734001,45.28005741,FALSE,TRUE,FALSE,TRUE,FALSE,-2.017935679,-1.454891436,FALSE,13,20.469181,19.74951
618,11.68896103,114.9601456,37.11905404,182.3444192,25.08360894,FALSE,TRUE,FALSE,TRUE,FALSE,-0.107558347,-0.911040498,FALSE,566,19.36428613,15.566109
619,11.68797493,129.8867086,68.45173048,146.4532905,34.93542649,FALSE,TRUE,FALSE,TRUE,FALSE,0.606242767,-0.538548492,FALSE,96,19.46684186,14.806846
620,11.68777084,203.7058988,72.29140906,118.3330982,44.44739317,FALSE,TRUE,FALSE,TRUE,FALSE,0.135851111,-0.059781081,FALSE,8,19.71550438,18.776026
621,11.68636608,8.23473408,83.49201402,122.3723941,20.64037328,FALSE,TRUE,FALSE,FALSE,FALSE,-1.116999567,0.5456422,FALSE,113,19.35808428,16.340784
622,11.68497086,209.9257363,50.77157602,98.77145158,63.03398216,FALSE,TRUE,FALSE,TRUE,FALSE,0.100273885,-0.010783697,FALSE,9,19.33603267,17.697453
623,11.68405056,37.54369105,38.86143992,143.1908166,-20.09493254,FALSE,TRUE,FALSE,FALSE,FALSE,-0.242627351,-0.547550975,FALSE,1482,19.0856182,14.616159
624,11.67674923,186.24139,47.67878167,135.3268618,68.80732948,FALSE,TRUE,FALSE,TRUE,FALSE,0.040048332,-0.112236811,FALSE,13,19.46239846,17.206062
625,11.67431355,160.0790481,5.665422423,241.5226707,52.1498502,FALSE,TRUE,FALSE,TRUE,FALSE,-0.4235877,-3.81881451,FALSE,11,19.75851973,18.076637
626,11.6739521,151.7581561,61.20468891,150.1968484,46.27280381,FALSE,TRUE,FALSE,TRUE,FALSE,0.057217562,-0.043865549,FALSE,42,19.54735479,17.03694
627,11.67369175,186.0843878,44.23872187,138.8427886,72.04272503,FALSE,TRUE,FALSE,TRUE,FALSE,-0.098971309,0.182697837,FALSE,13,19.80829138,18.951418
628,11.67069054,141.5352741,73.66315623,138.7733453,36.44234106,FALSE,TRUE,FALSE,TRUE,FALSE,0.821471948,-0.476688387,FALSE,150,19.41429173,15.780526
629,11.66990376,151.3259488,55.46559138,157.7903965,48.87807953,FALSE,TRUE,FALSE,TRUE,FALSE,0.019503771,-0.013625845,FALSE,11,19.958669,18.8484
630,11.66942692,174.2120321,46.77695614,154.7699465,65.47436604,FALSE,TRUE,FALSE,TRUE,FALSE,-0.132785549,-0.110842771,FALSE,23,20.04815148,18.91707
632,11.66053295,192.5164068,65.95419804,123.1548877,51.17346029,FALSE,TRUE,FALSE,TRUE,FALSE,-0.042051586,-0.119826991,FALSE,16,19.47599806,16.571154
633,11.65980625,111.75691,45.82324115,172.3780048,25.02122593,FALSE,TRUE,FALSE,TRUE,FALSE,-0.235317036,-0.588593151,FALSE,68,19.41517851,16.007408
634,11.65853691,176.1878552,51.7734346,145.4180695,62.34503273,FALSE,TRUE,FALSE,TRUE,FALSE,0.146033562,0.474808216,FALSE,14,19.8679145,19.114408
635,11.65837097,166.5254174,32.74382861,192.681158,66.56570663,FALSE,TRUE,FALSE,TRUE,FALSE,-0.118932875,-0.229279793,FALSE,14,19.30276207,16.9404
637,11.65710926,118.2277198,17.7988797,203.2285693,21.34360083,FALSE,TRUE,FALSE,TRUE,FALSE,-0.500723319,-0.611829555,TRUE,3085,19.26881151,13.112434
638,11.65595913,108.825719,35.99058025,181.8731858,20.04810826,FALSE,TRUE,FALSE,TRUE,FALSE,0.225041698,-0.855334692,FALSE,91,19.23806411,14.964559
639,11.65486908,171.8302622,45.01967764,160.5904299,65.46955299,FALSE,TRUE,FALSE,TRUE,FALSE,0.068260006,0.05546402,FALSE,17,19.52452747,17.322691
640,11.65462685,107.1137264,67.82506752,147.8179406,26.56265577,FALSE,TRUE,FALSE,TRUE,FALSE,0.179237436,-0.292379419,FALSE,286,19.49809547,13.432379
641,11.65148449,141.5494006,74.15477617,138.244769,36.1967272,FALSE,TRUE,FALSE,TRUE,FALSE,0.756491238,-0.453063856,FALSE,282,19.49640281,14.5327425
642,11.65080547,235.5885493,26.2848805,41.6966869,52.00717181,FALSE,TRUE,FALSE,TRUE,FALSE,-0.006464395,-0.137711554,FALSE,23,19.87050883,18.418585
643,11.64569378,102.4066694,52.38756269,163.7250056,20.91105142,FALSE,TRUE,FALSE,TRUE,FALSE,0.347400171,-0.776256345,FALSE,94,19.41258433,15.654267
644,11.64417362,125.5475804,39.23391961,182.0923566,33.66249446,FALSE,TRUE,FALSE,TRUE,FALSE,-0.167111702,-0.519068612,FALSE,143,19.3430302,16.270224
645,11.64320564,176.1878018,43.66046392,157.749865,68.68483465,FALSE,TRUE,FALSE,TRUE,FALSE,-0.173925227,0.143728371,FALSE,11,19.776191,18.902802
646,11.64008141,92.68873809,71.84450698,142.3351056,22.60110137,FALSE,TRUE,FALSE,FALSE,TRUE,0.266937037,-0.009144489,FALSE,189,19.49288108,15.763208
647,11.64006519,177.5146388,-18.92768782,283.374682,41.60134311,FALSE,TRUE,TRUE,FALSE,FALSE,0.013049438,-0.318632054,FALSE,13,19.62782538,17.730465
648,11.63810539,76.77108402,0.941009711,199.4607805,-22.57157802,FALSE,TRUE,FALSE,FALSE,FALSE,0.199543897,-0.251327659,FALSE,2641,19.20420932,14.043462
649,11.63707256,167.3754261,53.26485964,151.7868826,57.77435688,FALSE,TRUE,FALSE,TRUE,FALSE,0.027854788,0.052986687,FALSE,53,19.97226853,18.59924
650,11.63645458,83.22380253,-7.090922558,210.3472147,-20.67526857,FALSE,TRUE,FALSE,FALSE,TRUE,0.171889373,0.029944051,FALSE,3693,19.33628331,14.963004
651,11.63431072,75.39563761,4.388779714,195.5003845,-21.98447284,FALSE,TRUE,FALSE,FALSE,FALSE,0.309406172,-0.405159836,FALSE,5517,19.13648597,11.118353
653,11.6279068,8.335017953,83.50535531,122.3855747,20.65281481,FALSE,TRUE,FALSE,FALSE,FALSE,-1.12539783,0.511724466,FALSE,114,19.36360328,16.340784
656,11.62432003,115.4531135,24.6009404,195.4130956,21.48505941,FALSE,TRUE,FALSE,TRUE,FALSE,-0.343981731,-0.802331734,FALSE,2699,19.19722256,14.160014
657,11.61934471,126.7401202,51.32445837,167.5314975,35.53061196,FALSE,TRUE,FALSE,TRUE,FALSE,-0.033049956,-0.603934606,FALSE,20,19.109205,15.549467
658,11.61427879,188.2136818,53.29932879,129.1825118,63.60281361,FALSE,TRUE,FALSE,TRUE,FALSE,-0.090491493,-0.115650721,FALSE,21,20.03346224,18.457415
659,11.61300278,123.9991496,19.48756928,203.7659472,27.0455032,FALSE,TRUE,FALSE,TRUE,FALSE,-0.272839959,-0.304223104,FALSE,196,19.38753888,15.607285
660,11.60928917,123.5610712,43.12233874,177.2271243,32.7738979,FALSE,TRUE,FALSE,TRUE,FALSE,0.133407275,-0.598253955,FALSE,57,19.35758163,16.046503
661,11.60876465,83.53129105,-7.96793671,211.3324782,-20.78922958,FALSE,TRUE,FALSE,FALSE,TRUE,0.096197045,0.054515724,FALSE,3340,19.35601227,14.599497
662,11.6077404,102.5245987,51.42058609,164.7335601,20.68433568,FALSE,TRUE,FALSE,TRUE,FALSE,0.101462073,-0.774707055,FALSE,3508,19.28697612,13.662991
663,11.60392952,206.9915387,28.60014939,42.93305382,77.42756636,FALSE,TRUE,FALSE,TRUE,FALSE,0.205081613,0.018361618,FALSE,19,19.34407316,17.60059
664,11.60227203,131.5039127,61.85274329,154.2056469,37.10799051,FALSE,TRUE,FALSE,TRUE,FALSE,0.258175816,-0.301234381,FALSE,24,18.98792625,16.105532
665,11.60195065,172.7464436,-8.983221574,271.7795631,48.96098059,FALSE,TRUE,TRUE,TRUE,FALSE,-1.10374768,-1.757563402,FALSE,9,18.95378367,17.511677
666,11.6010294,161.4689712,58.05430294,149.5784792,52.08359064,FALSE,TRUE,FALSE,TRUE,FALSE,-0.15619709,-0.258594249,TRUE,15,20.01614947,18.927814
