,SIGNIFICANCE,RA,DEC,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,DELVE_FOOTPRINT,DECALS_FOOTPRINT,EBV_FLAG,PMRA,PMDEC,EDR3,RR_LYRAE,NSTARS,MAG_AVG,MAG_MAX
174,9.576209068,205.4370168,33.75429688,67.4432911,77.30741423,FALSE,TRUE,FALSE,TRUE,FALSE,0.020387676,0.05281299,10.33087349,FALSE,5,19.5142924,18.13741
175,11.5534668,211.5621617,46.20128977,90.06070183,65.86378193,FALSE,TRUE,FALSE,TRUE,FALSE,0.436352186,-0.13112311,10.3085804,FALSE,6,19.90828633,19.385536
176,10.27853298,174.814715,52.38030289,146.1730033,61.36845815,FALSE,TRUE,FALSE,TRUE,FALSE,-0.988097342,-2.231774828,10.30193138,FALSE,6,19.12898667,17.19167
177,9.917161942,176.7383551,65.18952753,133.5080777,50.59394185,FALSE,TRUE,FALSE,TRUE,FALSE,0.061202349,-0.009912007,10.30032063,FALSE,10,19.4377367,18.32203
178,10.14039516,233.5416211,33.12199945,52.74659518,54.52853459,FALSE,TRUE,FALSE,TRUE,FALSE,-1.401858591,-1.58066272,10.2943716,FALSE,8,19.71044875,18.172031
179,9.934054375,233.5416211,33.12199945,52.74659518,54.52853459,FALSE,TRUE,FALSE,TRUE,FALSE,-1.401858591,-1.58066272,10.2943716,FALSE,8,19.71044875,18.172031
180,9.673521996,147.5187525,29.09941104,199.121972,50.20682269,FALSE,TRUE,FALSE,TRUE,FALSE,0.253109511,0.071397185,10.28808212,FALSE,6,19.30278667,18.811771
181,9.566910744,237.9462758,56.21426078,87.84769502,46.75275627,FALSE,TRUE,FALSE,TRUE,FALSE,-2.020013374,-3.610016353,10.28786945,FALSE,8,19.94313875,18.887228
182,9.261044502,20.44496761,-33.23708455,257.7612912,-81.04369582,FALSE,FALSE,FALSE,TRUE,FALSE,-0.023730285,0.39033312,10.28225994,FALSE,5,18.5948192,16.7765
183,9.1910429,20.44496761,-33.23708455,257.7612912,-81.04369582,FALSE,FALSE,FALSE,TRUE,FALSE,-0.023730285,0.39033312,10.28225994,FALSE,5,18.5948192,16.7765
184,9.839453697,211.9167834,41.37838919,80.16742061,68.8484418,FALSE,TRUE,FALSE,TRUE,FALSE,0.034336203,-0.150190459,10.27235413,FALSE,8,19.43078213,18.720133
185,9.256900787,130.7106037,56.89052644,160.4450058,37.52166209,FALSE,TRUE,FALSE,TRUE,FALSE,0.69366255,-0.739536922,10.26199245,FALSE,10,19.1688432,16.72737
186,10.99344063,174.6767667,59.21501475,139.3261462,55.53775764,FALSE,TRUE,FALSE,TRUE,FALSE,0.217090994,-0.045455516,10.25618935,FALSE,5,18.0151928,15.422631
